layer,relative_pos,mean_ie,ci95_low,ci95_high,abs_mean_ie
1,0,0.8365153074264526,,,0.8365153074264526
0,0,0.740932285785675,,,0.740932285785675
2,0,0.6597231030464172,,,0.6597231030464172
3,0,0.5839979648590088,,,0.5839979648590088
5,0,0.4697284996509552,,,0.4697284996509552
4,0,0.4556015133857727,,,0.4556015133857727
6,0,0.26041340827941895,,,0.26041340827941895
7,0,0.25521937012672424,,,0.25521937012672424
9,0,0.22428327798843384,,,0.22428327798843384
8,0,0.21699874103069305,,,0.21699874103069305
10,0,0.20870618522167206,,,0.20870618522167206
7,4,0.12164474278688431,,,0.12164474278688431
6,4,0.10835958272218704,,,0.10835958272218704
11,0,0.07902885228395462,,,0.07902885228395462
14,0,0.07866094261407852,,,0.07866094261407852
5,4,0.07509350031614304,,,0.07509350031614304
12,0,0.06999927014112473,,,0.06999927014112473
8,4,0.06343398988246918,,,0.06343398988246918
15,0,0.06019764021039009,,,0.06019764021039009
7,8,0.05703796073794365,,,0.05703796073794365
10,4,0.051900021731853485,,,0.051900021731853485
8,16,0.05091581121087074,,,0.05091581121087074
9,16,0.04712499678134918,,,0.04712499678134918
7,16,0.04628215730190277,,,0.04628215730190277
10,8,0.03971785679459572,,,0.03971785679459572
9,8,0.03849344328045845,,,0.03849344328045845
8,8,0.03550037369132042,,,0.03550037369132042
13,0,0.03464825451374054,,,0.03464825451374054
4,16,0.034539248794317245,,,0.034539248794317245
2,4,-0.03418949246406555,,,0.03418949246406555
9,4,0.03195774927735329,,,0.03195774927735329
6,16,0.029285503551363945,,,0.029285503551363945
3,4,-0.02915848046541214,,,0.02915848046541214
12,4,0.028755037114024162,,,0.028755037114024162
11,4,0.027143729850649834,,,0.027143729850649834
6,8,0.027098186314105988,,,0.027098186314105988
13,4,0.026331627741456032,,,0.026331627741456032
11,8,0.024495858699083328,,,0.024495858699083328
5,16,0.024128062650561333,,,0.024128062650561333
4,4,-0.02210364304482937,,,0.02210364304482937
